date,ECO,PSE,OIL,INTEREST,SNP,GREENUTIL,CONVERSION,CLEANFUEL,STORAGE,DELIVERY,HARVEST
3-Jan-01,194.5,855.01,28,5.53,1347.56,42.4375,35.42809524,40.75,21.4510625,24.9375,16.21238426
10-Jan-01,194.56,836.09,29.48,5.15,1313.27,36.78125,35.19595238,39.5,21.7964375,22.33854167,16.47164352
17-Jan-01,233.34,876.63,29.6,5.22,1329.47,36.625,42.1235119,36.875,21.79644,24.53125,18.59346065
24-Jan-01,240.03,931.1,29.05,5.14,1364.3,40.28125,40.73857143,36.9375,22.24221819,26.69791667,18.2572338
31-Jan-01,245.58,917.84,28.66,4.86,1366.01,40.54999924,40.73857,37.77000046,22.3733144,26.08166695,18.49189815
7-Feb-01,231.7,865.35,31.27,4.94,1340.89,40.13500023,37.2970224,38.77000046,22.70669742,24.5234375,18.24305556
14-Feb-01,224.23,859.81,29.71,4.94,1315.92,42.55500031,35.42730745,39.45000076,22.78624053,24.15708319,18.41608796
21-Feb-01,208.84,790.88,28.58,4.89,1255.27,40.87000084,30.84462961,38.90999985,21.67986815,21.93937492,17.27777778
28-Feb-01,196.12,750.34,27.39,4.73,1239.94,40.64500046,26.5970281,40.54999924,21.40907249,20.7318751,16.57986111
7-Mar-01,209.17,787.83,29,4.57,1261.89,43.28499985,27.67642507,42.5,23.04893304,23.40479151,18.22106481
14-Mar-01,188.12,710.49,26.41,4.43,1166.71,40.22500038,24.57292493,40.06000137,22.12770333,20.05291669,14.81452546
21-Mar-01,183.62,663.03,26.8,4.21,1122.14,42.12999916,24.16070951,38.61000061,21.91245076,18.66499996,14.76331019
28-Mar-01,191.52,671.15,26.31,4.23,1153.29,44.73999977,26.80742743,38.86999893,21.60842837,20.34416676,15.10619213
4-Apr-01,172.61,590.68,27.12,4,1103.25,44.48999977,23.17979966,39.68999863,20.72204688,16.72666677,13.99421296
11-Apr-01,195.44,676.31,28.18,3.98,1165.89,45.45499992,27.3276153,42.54999924,21.18465654,20.54166651,15.78213003
18-Apr-01,209.93,749.12,27.95,3.82,1238.16,46.88500023,30.68881087,43.97000122,21.22405333,24.67791653,16.70333286
25-Apr-01,210.62,744.71,27.29,3.75,1228.75,46.1949997,30.07125811,42.75,20.53434761,24.35500002,16.86203744
2-May-01,234.95,792.04,27.8,3.8,1267.43,47.36999893,35.92590522,42.90000153,21.67313565,26.13333321,18.74851794
9-May-01,234.63,762.3,28.23,3.64,1255.54,46.35999871,36.13806588,43.77000046,21.92523011,26.24166695,18.22416681
16-May-01,235.56,776.06,28.86,3.49,1284.99,46.43499947,37.93658413,46.70000076,23.38393652,27.30499951,18.27509238
23-May-01,258.71,795.26,29.58,3.56,1289.05,46.53000069,41.23826846,46,23.70310652,29.64666685,19.93435151
30-May-01,242.06,732.55,28.55,3.6,1248.08,43.1400013,37.56904446,46.02000046,23.8414963,26.38333337,19.91740721
6-Jun-01,252.76,777.46,27.72,3.54,1270.03,41.0549984,40.90242157,47.84999847,24.37012201,29.15866661,21.35824122
13-Jun-01,241.58,739.07,28.84,3.47,1241.6,40.90999985,36.03198558,47.36000061,24.24045871,28.27333339,18.93703735
20-Jun-01,215.29,706.9,26.5,3.41,1223.14,38.46999931,22.77242559,47.63999939,23.20340601,24.30333344,16.656945
27-Jun-01,222.78,703.77,25.61,3.44,1211.07,37.15500069,22.98458618,45.5,22.30150128,25.11833366,16.8146298
3-Jul-01,225.16,725.94,26.24,3.58,1234.45,38.875,23.66288224,46.20000076,22.57130033,26.79166619,16.67935203
11-Jul-01,211.53,655.59,27.11,3.5,1180.18,40.2349987,21.31855785,45.41999817,22.00203019,24.37666702,13.64398177
18-Jul-01,210.85,665.03,24.89,3.46,1207.71,39.39999962,21.80626217,47.61000061,22.35236901,25.03333378,15.88027728
25-Jul-01,193.68,658.45,26.84,3.48,1190.49,35.54500008,20.11690503,42.08000183,21.88508401,23.96833325,14.79231477
1-Aug-01,204.32,702.87,26.77,3.45,1215.93,36.76000023,21.54128182,40.95999908,22.2965142,25.28001643,15.23009235
8-Aug-01,192.89,666.37,27.54,3.41,1183.53,33.80000019,19.66881621,41.77000046,21.98657011,23.45833333,13.88941907
15-Aug-01,184.48,657.62,27.56,3.35,1178.02,34.11499977,18.06700788,41.5,22.48676981,23.18000031,12.19870374
22-Aug-01,173.75,643.05,26.38,3.31,1165.31,34.79500103,15.85961987,41.63999939,22.94931707,22.26666705,12.02018504
29-Aug-01,170.73,643.7,27.05,3.34,1148.6,36.39999962,15.84025235,42.31999969,23.10466348,21.90499973,11.91990779
5-Sep-01,162.73,609.86,26.95,3.33,1131.74,34.82999993,14.55056597,42.54999924,22.71118602,20.64499982,11.11768491
10-Sep-01,156.65,586.33,27.63,3.19,1092.54,33.77999878,14.18742907,40.74000168,21.99355228,18.3466665,11.09314813
19-Sep-01,140.4,529.18,26.72,2.15,1016.1,30.73500061,12.15078131,36.31999969,19.56212615,16.58000016,9.190185203
26-Sep-01,141.66,506.01,22.38,2.33,1007.04,28.27999974,13.0130665,36.88999939,18.08596486,16.12971671,9.314629656
3-Oct-01,145.71,544.01,22.08,2.19,1072.28,32.49000073,14.45108864,38.50999832,18.67069348,17.59833336,9.637912191
10-Oct-01,148.36,567.18,22.53,2.18,1080.99,32.22999954,14.93395045,39.02999878,18.74250697,18.75995016,9.984258929
17-Oct-01,157.12,578.27,21.81,2.18,1077.09,31.9800005,15.08272673,37.86999893,19.31551723,18.70183341,10.34824104
24-Oct-01,160.9,614.65,22.33,2.13,1085.2,29.77999974,16.67172591,39.52999878,19.59603788,19.91000016,10.4821298
31-Oct-01,158.27,598.85,21.18,2.01,1059.78,31.43000031,16.18666304,40.04000092,20.11069895,19.55666685,10.68361141
7-Nov-01,164.06,653.61,20.09,1.77,1115.8,31.13999939,17.58286934,42.02999878,20.52113162,21.11000013,10.94907382
14-Nov-01,168.33,669.54,19.74,1.84,1141.21,32.96500015,17.86193482,43.81999969,20.92981864,22.18666649,11.95999978
21-Nov-01,164.59,661.57,18.96,1.92,1137.03,30.85999966,16.87200138,45.25999832,21.61202406,21.82833354,11.57055544
28-Nov-01,164.3,667.46,19.22,1.84,1128.52,29.40499973,16.26589287,45.38999939,20.81312221,21.86999981,12.11027795
5-Dec-01,172.97,724.71,19.49,1.74,1170.35,28.72499943,18.00366795,47.59000015,21.86942475,24.07666652,12.07888903
12-Dec-01,171.67,709.38,18.36,1.64,1137.07,26.04999924,17.41472599,45.91999817,21.95689736,23.68999958,11.29351814
19-Dec-01,163.24,698.91,19.36,1.66,1149.56,26.64499903,16.46880935,47.11999893,21.49310352,22.28499993,10.57268523
26-Dec-01,169.35,686.56,21.27,1.72,1149.37,28.18999958,16.58897462,46.95000076,22.42817136,23.02166692,10.61787975
2-Jan-02,178.64,695.79,21.01,1.71,1154.67,28.6600008,17.64528502,47,22.2937718,23.0216669,11.00453736
9-Jan-02,187.35,719.21,20.18,1.65,1155.14,27.50500012,19.66045288,46.88000107,22.22706956,25.08588229,12.36667607
16-Jan-02,170.1,677.52,18.86,1.58,1127.57,27.22999907,17.36234663,44.13000107,21.48761849,21.56669921,10.32537975
